Date,Name,Age,Salary
2024-11-17,Person79,51,42255.41
2024-08-10,Person83,43,44223.22
2024-04-23,Person38,67,36578.66
2024-12-09,Person83,77,53273.08
2024-01-06,Person9,28,58366.63
2024-04-01,Person96,30,91685.14
2024-06-14,Person52,45,43025.26
2024-02-03,Person12,68,71778.07
2024-08-02,Person88,41,99593.5
2024-02-16,Person65,70,49363.2
2024-09-14,Person64,28,42449.14
2024-11-10,Person78,79,90109.37
2024-08-07,Person43,60,36653.19
2024-09-02,Person66,21,48400.54
2024-12-07,Person94,62,92232.85
2024-03-19,Person66,64,49198.74
2024-06-11,Person5,39,51610.25
2024-08-18,Person33,63,45078.03
2024-05-22,Person54,45,52229.4
2024-07-21,Person67,24,85218.65
2024-08-19,Person37,52,94808.75
2024-06-28,Person39,79,67729.63
2024-09-04,Person59,29,43969.71
2024-03-10,Person27,74,97576.95
2024-11-22,Person49,28,35945.97
2024-05-17,Person60,44,65360.06
2024-11-19,Person30,22,59218.99
2024-12-08,Person88,29,92647.57
2024-04-02,Person29,37,49454.47
2024-03-09,Person42,48,53113.01
2024-07-21,Person35,24,90785.79
2024-12-09,Person99,73,83545.64
2024-02-10,Person57,55,89639.25
2024-11-21,Person11,43,47395.55
2024-08-09,Person36,71,50670.1
2024-03-27,Person15,47,51410.16
2024-01-20,Person10,46,57571.68
2024-07-13,Person91,75,52829.77
2024-02-29,Person23,77,62027.41
2024-02-09,Person56,74,97446.43
2024-07-19,Person85,51,52993.39
2024-08-11,Person78,43,69957.84
2024-11-20,Person6,58,72545.02
2024-08-06,Person24,47,93671.22
2024-11-02,Person13,49,54364.07
2024-08-12,Person3,70,92546.02
2024-05-12,Person54,73,95065.92
2024-02-24,Person72,34,46981.16
2024-03-01,Person86,62,74041.38
2024-01-28,Person19,46,46145.4
2024-09-11,Person70,47,71555.61
2024-12-28,Person50,18,34793.62
2024-03-15,Person8,23,30193.68
2024-03-31,Person15,74,85932.47
2024-10-29,Person54,54,87661.48
2024-09-19,Person67,65,86339.49
2024-05-07,Person99,33,99575.01
2024-05-04,Person87,80,30977.5
2024-05-31,Person50,67,37985.9
2024-02-25,Person28,39,82352.45
2024-07-13,Person97,25,54447.33
2024-07-28,Person27,22,44808.0
2024-03-11,Person54,50,61910.6
2024-08-22,Person44,18,86626.83
2024-10-06,Person100,63,53920.61
2024-03-18,Person46,72,54988.64
2024-04-19,Person19,43,73735.05
2024-12-06,Person43,39,91116.75
2024-02-28,Person1,24,83267.5
2024-08-30,Person81,57,34849.91
2024-12-01,Person54,40,68616.26
2024-11-17,Person91,66,87692.46
